question,keywords,your_answer,score,percentage_for_question,matched_unweighted,total_keywords,matched_weight,total_weight,details
What is photosynthesis?,plants:2; sunlight|solar energy; carbon dioxide:2; water; food,"the process by which plants, algae, and some bacteria convert light energy into chemical energy, producing sugars (food) and oxygen",4.29,42.86,2,5,3.0,7.0,"[{'alts': ['plants'], 'weight': 2.0, 'matched_alt': 'plants', 'matched': True}, {'alts': ['sunlight', 'solar energy'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['carbon dioxide'], 'weight': 2.0, 'matched_alt': None, 'matched': False}, {'alts': ['water'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['food'], 'weight': 1.0, 'matched_alt': 'food', 'matched': True}]"
Who proposed the theory of relativity?,albert|albert einstein|einstein:2,Albert Einstein,10.0,100.0,1,1,2.0,2.0,"[{'alts': ['albert', 'albert einstein', 'einstein'], 'weight': 2.0, 'matched_alt': 'albert', 'matched': True}]"
State Newton's second law.,force:2; mass; acceleration:2; proportional|proportional to,that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass.,10.0,100.0,4,4,6.0,6.0,"[{'alts': ['force'], 'weight': 2.0, 'matched_alt': 'force', 'matched': True}, {'alts': ['mass'], 'weight': 1.0, 'matched_alt': 'mass', 'matched': True}, {'alts': ['acceleration'], 'weight': 2.0, 'matched_alt': 'acceleration', 'matched': True}, {'alts': ['proportional', 'proportional to'], 'weight': 1.0, 'matched_alt': 'proportional', 'matched': True}]"
What is the capital of France?,paris:2,paris,10.0,100.0,1,1,2.0,2.0,"[{'alts': ['paris'], 'weight': 2.0, 'matched_alt': 'paris', 'matched': True}]"
What does CPU stand for?,central processing unit:2,Central Processing Unit,10.0,100.0,1,1,2.0,2.0,"[{'alts': ['central processing unit'], 'weight': 2.0, 'matched_alt': 'central processing unit', 'matched': True}]"
What is the chemical formula of water?,h2o:2; water,h2o,6.67,66.67,1,2,2.0,3.0,"[{'alts': ['h2o'], 'weight': 2.0, 'matched_alt': 'h2o', 'matched': True}, {'alts': ['water'], 'weight': 1.0, 'matched_alt': None, 'matched': False}]"
Define osmosis.,semipermeable|semi permeable membrane:2; solvent; low concentration|lower concentration; high concentration|higher concentration,"the movement of solvent molecules, typically water, across a semi-permeable membrane from a region of higher solvent concentration to a region of lower solvent concentration",6.0,60.0,2,4,3.0,5.0,"[{'alts': ['semipermeable', 'semi permeable membrane'], 'weight': 2.0, 'matched_alt': 'semi permeable membrane', 'matched': True}, {'alts': ['solvent'], 'weight': 1.0, 'matched_alt': 'solvent', 'matched': True}, {'alts': ['low concentration', 'lower concentration'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['high concentration', 'higher concentration'], 'weight': 1.0, 'matched_alt': None, 'matched': False}]"
Define mitosis.,cell division:2; nucleus; chromosomes; identical|two identical cells,the process of cell division in which a single cell divides into two identical daughter cells,6.0,60.0,2,4,3.0,5.0,"[{'alts': ['cell division'], 'weight': 2.0, 'matched_alt': 'cell division', 'matched': True}, {'alts': ['nucleus'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['chromosomes'], 'weight': 1.0, 'matched_alt': None, 'matched': False}, {'alts': ['identical', 'two identical cells'], 'weight': 1.0, 'matched_alt': 'identical', 'matched': True}]"
What does HTTP stand for?,hypertext transfer protocol:2,Hypertext Transfer Protocol,10.0,100.0,1,1,2.0,2.0,"[{'alts': ['hypertext transfer protocol'], 'weight': 2.0, 'matched_alt': 'hypertext transfer protocol', 'matched': True}]"
Who created the Python programming language?,guido van rossum:2; van rossum|guido,Guido van Rossum,10.0,100.0,2,2,3.0,3.0,"[{'alts': ['guido van rossum'], 'weight': 2.0, 'matched_alt': 'guido van rossum', 'matched': True}, {'alts': ['van rossum', 'guido'], 'weight': 1.0, 'matched_alt': 'van rossum', 'matched': True}]"
